fold,metodo,mae,mse,tempo_segundos
0,média,64750.64915451568,6918804392.966555,0.00042891502380371094
0,knn,63254.69256756757,6682997185.679054,0.07668662071228027
0,mice,61417.11973447844,6290352306.445632,1.3729345798492432
0,tabpfn,55670.91646431588,5099968329.302629,1.2794289588928223
0,missforest,58929.28783783784,6067983263.681959,76.74016284942627
1,média,60064.96439356964,6542475761.394445,0.00045990943908691406
1,knn,58596.10439189189,6339441581.144629,0.06838130950927734
1,mice,56055.8537601453,5935002683.788638,1.1002068519592285
1,tabpfn,48947.10731630067,4638500905.969294,1.2642781734466553
1,missforest,56359.9597972973,6136343992.553412,76.92215967178345
2,média,66579.61057389218,7099349689.738303,0.0004444122314453125
2,knn,65837.01013513513,7362612136.814189,0.0679934024810791
2,mice,145829.0697570308,2087319835021.8298,1.4204151630401611
2,tabpfn,55202.85573268581,5644759985.350114,1.3152871131896973
2,missforest,62442.16925675676,6553498447.972331,77.13743209838867
3,média,68995.39348829642,10196694134.756718,0.0007207393646240234
3,knn,69295.14898648649,9775349423.938547,0.07978510856628418
3,mice,66626.12385475077,9048375284.800089,1.1036100387573242
3,tabpfn,61209.14661634291,7917129151.249188,1.276245355606079
3,missforest,68701.0070945946,9983243012.944021,76.7393262386322
4,média,72185.12497115647,8660090182.927603,0.00044274330139160156
4,knn,66830.4779661017,7840535816.383051,0.06743979454040527
4,mice,69484.3781293049,15057234926.913418,1.064842939376831
4,tabpfn,56441.233606991525,5809640939.304865,1.2357616424560547
4,missforest,63310.82745762712,6981178493.138339,76.3970193862915
5,média,69684.07003652451,8983572201.860535,0.0004436969757080078
5,knn,65852.03389830509,8210044230.847458,0.07594680786132812
5,mice,65375.845288384364,8044309695.548504,1.3729040622711182
5,tabpfn,59860.956355932205,6702708308.258416,1.2989013195037842
5,missforest,65154.49491525424,7529332040.115254,76.62860035896301
6,média,67880.90314952098,9060360736.630991,0.0007338523864746094
6,knn,61510.50847457627,8020500985.084745,0.07144665718078613
6,mice,61896.33720713892,7716778018.130674,1.4345862865447998
6,tabpfn,56467.5686440678,6535625065.632577,1.2962534427642822
6,missforest,60673.41389830509,7483142275.758678,77.06471824645996
7,média,65704.43741307106,7730935339.3292885,0.0006566047668457031
7,knn,61848.64406779661,6942517231.2271185,0.12522506713867188
7,mice,61030.796563097734,6613146024.096085,1.402956247329712
7,tabpfn,55615.13919491525,5637091913.883451,1.273043155670166
7,missforest,62578.08406779661,7216716272.807593,76.71744227409363
8,média,62189.776224016925,6648750784.633489,0.0004439353942871094
8,knn,59330.08474576271,6520426864.80339,0.06559252738952637
8,mice,58191.694472377334,6225751898.521592,1.3879554271697998
8,tabpfn,53440.86655190678,5269979328.3133135,1.2776143550872803
8,missforest,59731.769491525425,6478955505.538983,76.87418913841248
9,média,64469.10591467418,7239766232.290301,0.0004482269287109375
9,knn,63710.55966101695,7135686088.084102,0.07250332832336426
9,mice,63554.146275385014,7176102939.965188,1.4146785736083984
9,tabpfn,54730.320180084746,5621682291.03452,1.215308427810669
9,missforest,63015.38644067797,7160147379.311865,76.89139914512634
